Software Defined Network|OpenShift Container Platform uses software defined networking to provide a unified cluster network so that pods communicate with each other across the cluster. OpenShift SDN establishes and maintains this pod network|SDN
Border Gateway Protocol|The routing protocol of the Internet that routes traffic across the internet.|BGP
end of rack|Data center configuration where each server in individual racks are connected to a common EOR aggregation switch directly, without connecting to individual switches in each rack. See also TOR (top of rack).|EOR
top of rack|Data center configuration where each server in individual racks are connected to a common EOR aggregation switch directly. The servers do not connect to individual switches in each rack. See also EOR (end of rack).|TOR
Border Gateway Protocol|The routing protocol of the Internet that routes traffic across the internet.|BGP
